gid,id,team,p_seq,stattype,p_ipouts,p_noout,p_bfp,p_h,p_d,p_t,p_hr,p_r,p_er,p_w,p_iw,p_k,p_hbp,p_wp,p_bk,p_sh,p_sf,p_sb,p_cs,p_pb,wp,lp,save,p_gs,p_gf,p_cg,date,number,site,vishome,opp,win,loss,tie,gametype,box,pbp,pitches,entry,score_v,score_h,inherited,suspend,temp,hometeam,year,day,home,margin,absMargin,pitcherRole,suspended,relief,rest,p1,p3,p7,previous,consecutive,ubb,net,y,priorRelief,prior_net,prior_p_bfp,baseline,doubleAppearance,restGroup,b2b,rest1,rest2,heavyYesterday,threeDays,p3_10,p7_10,month
NYA202305250,abrea001,NYA,6,value,3,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,,,1.000000,,20230525,0,NYC21,h,BAL,0,1,0,regular,y,y,10.000000,9,3,0,0,,66,NYA,2023,2023-05-25,1,-3,3,True,False,True,0,17.000000,17.000000,71.000000,17.000000,1,0,0,0.000000,19,11,111,0.123223,False,0 days,1,0,0,0,0,1.700000,7.100000,5
SEA202305290,abrea001,NYA,3,value,6,0,7,0,0,0,0,0,0,1,0,3,0,0,0,0,0,0,0,0,,,,,1.000000,,20230529,0,SEA03,v,SEA,1,0,0,regular,y,y,29.000000,8,9,4,0,,68,SEA,2023,2023-05-29,0,5,5,True,False,True,3,0.000000,0.000000,27.000000,10.000000,0,1,2,0.285714,20,11,114,0.121495,False,3+ days,0,0,0,0,0,0.000000,2.700000,5
LAN202306020,abrea001,NYA,4,value,3,0,4,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,,,1.000000,,20230602,0,LOS03,v,LAN,0,1,0,regular,y,y,17.000000,8,2,8,0,,67,LAN,2023,2023-06-02,0,-6,6,True,False,True,3,0.000000,0.000000,29.000000,29.000000,0,0,0,0.000000,21,13,121,0.126697,False,3+ days,0,0,0,0,0,0.000000,2.900000,6
NYA202306060,abrea001,NYA,4,value,3,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,,,1.000000,,20230606,0,NYC21,h,CHA,0,1,0,regular,y,y,12.000000,9,3,1,0,,68,NYA,2023,2023-06-06,1,-2,2,True,False,True,3,0.000000,0.000000,17.000000,17.000000,0,0,0,0.000000,22,13,125,0.124444,False,3+ days,0,0,0,0,0,0.000000,1.700000,6
NYA202306090,abrea001,NYA,2,value,1,0,3,2,0,0,1,1,1,0,0,1,0,0,0,0,0,0,0,0,,,,,,,20230609,0,NYC21,h,BOS,0,1,0,regular,y,y,9.000000,7,2,1,0,,68,NYA,2023,2023-06-09,1,-1,1,True,False,True,2,0.000000,12.000000,29.000000,12.000000,0,0,1,0.333333,23,13,128,0.122807,False,2 days,0,0,1,0,0,1.200000,2.900000,6
NYN202306140,abrea001,NYA,5,value,4,0,4,0,0,0,0,1,0,0,0,2,0,0,0,0,0,0,0,0,,1.000000,,,,,20230614,0,NYC20,v,NYN,0,1,0,regular,y,y,20.000000,9,3,3,0,,70,NYN,2023,2023-06-14,0,0,0,True,False,True,4,0.000000,0.000000,9.000000,9.000000,0,0,2,0.500000,24,14,131,0.125541,False,3+ days,0,0,0,0,0,0.000000,0.900000,6
BOS202306160,abrea001,NYA,3,value,5,0,8,3,1,0,0,2,0,0,0,2,0,0,0,0,0,0,0,0,,,,,,,20230616,0,BOS07,v,BOS,0,1,0,regular,y,y,34.000000,4,1,10,2,,73,BOS,2023,2023-06-16,0,-9,9,True,False,True,1,0.000000,20.000000,29.000000,20.000000,0,0,2,0.250000,25,16,135,0.131915,False,1 day,0,1,0,0,0,2.000000,2.900000,6
NYA202306220,abrea001,NYA,3,value,6,0,8,1,0,0,0,0,0,1,0,4,0,0,0,0,0,0,0,0,,,,,,,20230622,0,NYC21,h,SEA,0,1,0,regular,y,y,31.000000,7,10,0,0,,69,NYA,2023,2023-06-22,1,-10,10,True,False,True,5,0.000000,0.000000,34.000000,34.000000,0,1,3,0.375000,26,18,143,0.135802,False,3+ days,0,0,0,0,0,0.000000,3.400000,6
OAK202306290,abrea001,NYA,5,value,3,0,3,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,,,,,1.000000,,20230629,0,OAK01,v,OAK,1,0,0,regular,y,y,8.000000,9,10,4,0,,69,OAK,2023,2023-06-29,0,6,6,True,False,True,6,0.000000,0.000000,31.000000,31.000000,0,0,2,0.666667,27,21,151,0.143426,False,3+ days,0,0,0,0,0,0.000000,3.100000,6
SLN202307011,abrea001,NYA,3,value,2,0,2,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,,,,,,,20230701,1,STL10,v,SLN,0,1,0,regular,y,y,9.000000,6,0,11,2,,90,SLN,2023,2023-07-01,0,-11,10,True,False,True,1,0.000000,8.000000,8.000000,8.000000,0,0,1,0.500000,28,23,154,0.149606,False,1 day,0,1,0,0,0,0.800000,0.800000,7
NYA202307040,abrea001,NYA,5,value,3,0,5,1,1,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,,,,,1.000000,,20230704,0,NYC21,h,BAL,1,0,0,regular,y,y,15.000000,9,3,8,0,,75,NYA,2023,2023-07-04,1,5,5,True,False,True,2,0.000000,9.000000,17.000000,9.000000,0,0,1,0.200000,29,24,156,0.152344,False,2 days,0,0,1,0,0,0.900000,1.700000,7
NYA202307060,abrea001,NYA,2,value,2,0,10,4,0,0,1,6,6,3,0,0,1,0,0,0,0,0,0,0,,,,,,,20230706,0,NYC21,h,BAL,0,1,0,regular,y,y,44.000000,3,5,0,2,,85,NYA,2023,2023-07-06,1,-5,5,True,False,True,1,0.000000,15.000000,32.000000,15.000000,0,3,-3,-0.300000,30,25,161,0.153257,False,1 day,0,1,0,0,0,1.500000,3.200000,7
COL202307140,abrea001,NYA,3,value,3,0,4,1,0,0,1,1,1,0,0,0,0,0,0,0,0,0,0,0,,,,,1.000000,,20230714,0,DEN02,v,COL,0,1,0,regular,y,y,11.000000,8,2,6,0,,82,COL,2023,2023-07-14,0,-4,4,True,False,True,7,0.000000,0.000000,0.000000,44.000000,0,0,0,0.000000,31,22,171,0.136531,False,3+ days,0,0,0,0,0,0.000000,0.000000,7
ANA202307180,abrea001,NYA,2,value,6,0,7,1,0,0,0,0,0,0,0,4,0,0,0,0,0,0,0,0,,,,,1.000000,,20230718,0,ANA01,v,ANA,0,1,0,regular,y,y,26.000000,7,1,5,0,,82,ANA,2023,2023-07-18,0,-4,4,True,False,True,3,0.000000,0.000000,11.000000,11.000000,0,0,4,0.571429,32,22,175,0.134545,False,3+ days,0,0,0,0,0,0.000000,1.100000,7
NYA202307250,abrea001,NYA,4,value,2,0,4,0,0,0,0,0,0,1,0,1,1,0,0,0,0,0,0,0,,,,,1.000000,,20230725,0,NYC21,h,NYN,0,1,0,regular,y,y,11.000000,9,9,3,1,,70,NYA,2023,2023-07-25,1,-6,6,True,False,True,6,0.000000,0.000000,26.000000,26.000000,0,1,0,0.000000,33,26,182,0.145390,False,3+ days,0,0,0,0,0,0.000000,2.600000,7
BAL202307300,abrea001,NYA,3,value,6,0,9,2,0,0,0,0,0,1,0,3,0,0,0,0,0,0,0,0,,,,,1.000000,,20230730,0,BAL12,v,BAL,0,1,0,regular,y,y,34.000000,7,3,9,0,,83,BAL,2023,2023-07-30,0,-6,6,True,False,True,4,0.000000,0.000000,11.000000,11.000000,0,1,2,0.222222,34,26,186,0.143357,False,3+ days,0,0,0,0,0,0.000000,1.100000,7
